model	target	rate	maxx	rate01	rate99	flow_mean	flow01	flow99
modelDSBs1i1_realimprecise	CRTISO3bp	Repair-error (from direct DSB)	0.248849297708149	0.138228391834331	0.323673087686716	0.337797818510449	0.194056445367811	0.434805082105138
modelDSBs1i1_realimprecise	CRTISO3bp	Repair-error (from indirect DSB)	0.0176832982359029	0	0.0710574593490863	0.0860190949802595	0	0.303883000946145
modelDSBs1i1_realimprecise	CRTISO3bp	Precise Repair (from direct DSB)	0	0	0.0581396632369502	0	0	0.078008214631218
modelDSBs1i1_realimprecise	CRTISO3bp	Precise Repair (from indirect DSB)	0.0395034048519127	0	0.242835820102163	0.192157195208682	0	1.12197459289634
modelDSBs1i1_realimprecise	CRTISO3bp	U (induction)	0	0	0.0300099335266579	NA	NA	NA
modelDSBs1i1_realimprecise	CRTISO3bp	r (induction)	25.1581010929269	3.71100889795376	3903.01825049198	NA	NA	NA
modelDSBs1i1_realimprecise	CRTISO3bp	decay (induction)	0	0	0.00310430411692628	NA	NA	NA
modelDSBs1i1_realimprecise	CRTISO	Cutting	0.0181465785014177	0.0124142931753842	0.0284698093161573	NA	0.498752900049865	1.09833444620028
modelDSBs1i1_realimprecise	PhyB2	Cutting	0.0645614783286835	0.0431922074811604	0.245243666727476	NA	0.574321342966411	5.73940599352513
modelDSBs1i1_realimprecise	Psy1	Cutting	0.0112757099921401	0.00868328983016978	0.336587015914795	NA	0.459006378451333	19.0972575861219
modelDSBs1i1_realimprecise	CRTISO	Imprecise cutting	0.000623805707193568	0	0.0024927383886834	NA	0	0.0883319278256344
modelDSBs1i1_realimprecise	PhyB2	Imprecise cutting	0	0	0	NA	0	0
modelDSBs1i1_realimprecise	Psy1	Imprecise cutting	0.000350447550707319	0	0.00100241326073811	NA	0	0.0358895378343871
modelDSBs1i1_realimprecise	CRTISO	pDSB -> procDSB	0.0098977567319525	0	0.0221340380762052	0.0356640646537871	0	0.0792484290138718
modelDSBs1i1_realimprecise	PhyB2	pDSB -> procDSB	0.0224142107526628	0.0108209459169106	0.0537720610567381	0.124323381979141	0.062962133147819	0.305632344259713
modelDSBs1i1_realimprecise	Psy1	pDSB -> procDSB	0.00247925054769436	0	0.010323942931243	0.00866609755805069	0	0.0355971466718005
modelDSBs1i1_realimprecise	CRTISO	Repair-error (from direct DSB)	0.114149474201044	0.0926875196628533	0.133320979677571	0.41126590333758	0.340063293252492	0.480739437833681
modelDSBs1i1_realimprecise	PhyB2	Repair-error (from direct DSB)	0.0742227559601349	0.0352879535832265	0.0968076611877875	0.411664997146078	0.201754110893931	0.485671836877948
modelDSBs1i1_realimprecise	Psy1	Repair-error (from direct DSB)	0.0423669559461605	0.0355268276395466	0.0502738913988495	0.148085690403131	0.132241788297548	0.160772114807835
modelDSBs1i1_realimprecise	CRTISO	Repair-error (from indirect DSB)	0	0	0	0	0	0
modelDSBs1i1_realimprecise	PhyB2	Repair-error (from indirect DSB)	0.16789022961049	0.0659365711825222	0.657572039963371	0.120572826741034	0.0554754891957538	0.30366523404966
modelDSBs1i1_realimprecise	Psy1	Repair-error (from indirect DSB)	0	0	0	0	0	0
modelDSBs1i1_realimprecise	CRTISO	Precise Repair (from direct DSB)	0.0956122150770081	0	0.187680660844043	0.344484923244626	0	0.696345455933917
modelDSBs1i1_realimprecise	PhyB2	Precise Repair (from direct DSB)	0.0482408334476239	0.00353439989905387	1.20342935684542	0.26756724753028	0.0204160224899561	5.13062102922979
modelDSBs1i1_realimprecise	Psy1	Precise Repair (from direct DSB)	0.138171319356317	0.0734805279180556	6.0748060237484	0.482905480439611	0.25091236266387	18.7636991052987
modelDSBs1i1_realimprecise	CRTISO	Precise Repair (from indirect DSB)	0	0	0.0202748762536849	0	0	0.0465967364713682
modelDSBs1i1_realimprecise	PhyB2	Precise Repair (from indirect DSB)	0	0	0.000412231171333961	0	0	0.000434365442079271
modelDSBs1i1_realimprecise	Psy1	Precise Repair (from indirect DSB)	0	0	0.00890398855151516	0	0	0.00860387306269777
modelDSBs1i1_realimprecise	CRTISO	U (induction)	0	0	0.30487572922947	NA	NA	NA
modelDSBs1i1_realimprecise	PhyB2	U (induction)	0.404894739196636	0	0.436922300067645	NA	NA	NA
modelDSBs1i1_realimprecise	Psy1	U (induction)	0	-8.47032947254301e-24	0.507897331501474	NA	NA	NA
modelDSBs1i1_realimprecise	CRTISO	r (induction)	10.3964503718809	6.03609845958902	1168.38079055126	NA	NA	NA
modelDSBs1i1_realimprecise	PhyB2	r (induction)	10.4835735505724	3.4640319287755	2387.3914982348	NA	NA	NA
modelDSBs1i1_realimprecise	Psy1	r (induction)	10.1301886862828	2.23236174698138	2425.41205242572	NA	NA	NA
modelDSBs1i1_realimprecise	CRTISO	decay (induction)	0.00201029083982148	0	0.00534443931220544	NA	NA	NA
modelDSBs1i1_realimprecise	PhyB2	decay (induction)	0	-3.5527136788005e-20	0.00696898623707673	NA	NA	NA
modelDSBs1i1_realimprecise	Psy1	decay (induction)	0	0	0	NA	NA	NA
